City,City ID,Location,Temperature,Humidity,Cloudiness,Wind Speed
Ushuaia,8303,-54.81,272.15,80,75,11.3
Margate,9545,-43.03,281.48,61,75,4.6
Cape Town,1899,-33.93,286.15,87,0,5.1
Albany,3273,42.65,299.82,88,75,3.6
Tuatapere,2008959,-46.13,280.93,79,93,2.24
Port Alfred,2011314,-33.59,289.26,67,0,3.13
Punta Arenas,8487,-53.16,273.15,60,75,12.9
Mataura,2008959,-46.19,280.93,79,88,2.24
Georgetown,8776,6.8,303.15,66,40,2.1
Arraial do Cabo,8326,-22.97,294.15,88,75,5.1
Mount Isa,9495,-20.73,283.15,43,66,2.6
Orange Cove,5145,36.62,312.59,27,0,2.6
Wanning,6874,48.64,294.26,77,75,1.5
Tasiilaq,81,65.61,283.15,61,89,3.6
Clyde River,776,70.47,283.15,100,75,1.5
Spornoye,9030,50.84,288.15,51,0,3.0
Hay River,819,60.82,287.15,62,40,4.6
Katsuura,8038,33.93,300.93,94,75,2.1
Klaksvik,1596,62.23,284.15,87,100,5.1
Hermanus,2003650,-34.42,285.37,82,100,1.79
Dunedin,75281,-45.87,281.48,69,58,1.79
Hobart,9545,-42.88,281.48,61,75,4.6
Tuktoyaktuk,942,69.44,277.15,86,90,5.7
Nikolskoye,8926,59.7,282.15,87,0,2.0
Inverness,1435,57.48,289.15,100,100,2.1
Vila,6734,45.18,298.71,69,75,2.1
Pacific Grove,4980,36.62,308.71,72,75,5.7
Dangriga,7263,16.97,305.37,75,75,4.6
Kahului,7879,20.89,303.15,70,75,3.1
Victoria,9372,5.28,299.15,94,90,2.6
Kuusamo,1352,65.96,281.15,87,0,2.1
Cabo San Lucas,7151,22.89,309.26,48,75,5.7
Mahebourg,2061,-20.41,294.26,94,75,2.1
Pisco,8691,-13.71,295.15,30,20,6.7
Ketchikan,7754,55.34,293.15,87,20,6.2
Tromso,1681,69.65,283.15,71,0,7.2
Santa Rosalia,6708,38.07,300.93,42,0,2.1
Hilo,7881,19.71,302.15,70,75,6.2
Lebu,2453,8.96,287.15,82,75,2.1
Kapaa,7873,22.08,303.71,70,75,3.6
Kokkola,1343,63.84,284.82,66,0,2.1
Tautira,7318,-17.73,300.15,69,20,3.1
Miramar,7217,10.09,301.15,54,75,3.1
Kaitangata,2000217,-46.28,280.37,67,100,4.02
Avarua,7271,-21.21,297.15,73,100,4.1
Longyearbyen,1663,78.22,282.15,70,75,2.1
Broome,1467,52.47,291.48,88,12,2.6
Thompson,935,55.74,292.15,45,75,7.7
Puerto Ayora,8521,-0.74,297.15,69,75,3.6
Hamilton,818,43.26,299.26,78,90,3.1
Fort Nelson,986,58.81,292.15,52,40,4.6
Necochea,2019717,-38.55,283.15,77,0,1.79
Belen,9725,34.66,306.48,28,1,5.7
Grindavik,90,63.84,286.48,93,75,4.6
Raudeberg,1616,61.99,289.15,87,91,3.1
Sitka,2021131,37.17,310.93,35,37,4.92
Schweinfurt,1838,50.05,292.59,100,1,4.1
Marsa Matruh,2517,31.35,300.15,61,0,3.1
Busselton,2011706,-33.64,276.48,72,3,8.53
Shelburne,762,44.08,299.26,65,40,4.1
Coihaique,8491,-45.58,279.15,99,75,2.1
Sept-Iles,1013,50.2,289.26,87,90,3.6
Stolbovaya,9021,55.26,289.26,76,0,4.0
Torbay,998,47.66,290.93,77,20,4.1
Constitucion,7113,23.99,301.15,21,75,3.6
Neiafu,7292,-18.65,297.15,78,75,1.5
Salalah,7562,17.01,299.15,94,90,0.5
Tecoanapa,7103,16.99,305.15,66,75,5.1
Turayf,7432,31.68,299.15,39,0,5.1
Calama,8480,-22.46,293.15,5,0,9.3
Kodiak,4042,39.95,304.26,58,1,4.6
Norman Wells,951,65.28,287.15,58,75,3.1
Port Elizabeth,4902,39.31,302.59,69,1,3.1
Yellowknife,1007,62.45,286.15,71,75,4.1
El Dorado,8810,10.65,303.15,62,40,1.95
Spearfish,5898,44.49,308.15,29,1,3.6
Alofi,7306,-19.06,298.15,73,75,6.2
Champerico,7162,16.38,306.15,46,40,5.7
Quatre Cocos,2061,-20.21,294.26,94,75,2.1
Pemberton,2020551,-34.44,276.48,98,6,0.45
Nishihara,8074,35.74,304.82,79,75,4.6
Collie,2011706,-33.36,276.48,72,0,0.65
Waipawa,2010964,-39.94,284.26,77,100,4.47
Krynychky,8901,48.37,287.15,76,0,2.07
Kiama,9594,-34.67,288.15,45,0,3.6
Kuala Terengganu,9440,5.33,299.15,100,75,1.0
Lagoa,6892,37.14,298.15,61,0,4.6
Soddy-Daisy,3618,35.24,306.48,43,75,1.5
Watertown,3343,44.9,304.15,54,1,4.6
Bambous Virieux,2061,-20.34,294.26,94,75,2.1
Goderich,2008803,43.74,296.48,79,100,2.68
Hasaki,7955,35.73,300.93,88,75,2.6
Skegness,1503,53.14,290.93,82,0,4.6
Souillac,6452,45.6,295.37,78,90,3.1
Kristinehamn,2001912,59.31,289.82,83,100,0.89
Morro Bay,9683,35.37,309.26,82,90,4.6
Komatipoort,2059,-25.43,292.59,82,25,1.5
Ancud,8512,-41.87,282.15,70,40,3.1
Dennery,8784,13.9,302.15,79,75,1.5
Husavik,19218,50.56,300.37,40,29,3.58
El Alto,8648,-16.5,288.15,9,20,3.6
Thunder Bay,906,48.41,299.15,47,75,7.2
Henties Bay,2012545,-22.12,285.93,93,0,2.24
Lasa,6374,34.92,299.15,83,20,1.5
Mayo,858,63.59,293.15,56,75,4.1
Carbondale,4784,38.82,308.15,52,1,3.6
Luanda,2173,-8.83,294.15,94,75,1.5
Isangel,7317,-19.55,297.15,88,75,2.1
Beatrice,3437,40.27,305.15,43,1,2.1
Denpasar,9333,-8.65,295.15,94,20,2.1
Iroquois Falls,940,48.76,298.15,47,75,2.6
Oga,6945,46.46,292.04,100,90,4.1
Nelson Bay,9605,-32.72,284.26,75,0,2.6
Bethel,7840,60.79,287.15,100,90,3.6
Imbituba,8360,-28.24,293.15,82,20,6.2
Collipulli,8479,-37.96,285.15,50,75,3.1
Esna,9687,45.2,292.15,68,5,1.0
Alice Springs,9483,-23.7,284.15,40,90,3.93
Heinola,1366,61.2,285.37,71,40,4.1
Susaki,8021,33.42,301.48,88,75,1.5
Cap Malheureux,2061,-19.98,294.26,94,75,2.1
Winfield,3408,37.24,310.15,58,40,5.1
Mackay,794,53.65,288.15,93,90,2.1
Tateyama,8020,36.66,302.59,74,75,1.5
Fortuna,6391,38.18,300.37,88,0,1.56
Mehran,7458,33.12,299.15,21,0,2.1
Livingston,5100,32.58,307.59,41,20,3.6
Edgewater,3785,28.99,304.26,94,75,2.1
Bredasdorp,1966,-34.53,282.15,81,100,3.1
Fairbanks,7684,64.84,292.15,63,90,2.6
Sesheke,2271,-17.47,293.15,42,0,1.5
Mentougou,9609,39.94,298.71,94,40,1.0
New Norfolk,9545,-42.78,281.48,61,75,4.6
Nuuk,86,64.17,279.82,93,90,4.6
Whitehorse,983,60.72,294.15,56,75,1.5
Haputale,9124,6.77,299.15,100,40,2.1
Iqaluit,797,63.75,285.15,58,20,3.6
Touros,8452,-5.2,299.15,78,75,4.1
Puerto Quijarro,8335,-19.0,301.15,51,0,4.6
Hambantota,9124,6.12,299.15,100,40,2.1
Ilulissat,165,69.22,280.15,75,75,1.5
Iquitos,8694,-3.75,279.15,319,0,2.1
Najran,7421,17.54,301.15,48,40,6.2
Bellefontaine,3938,40.36,303.15,57,20,6.2
Lompoc,4747,34.64,301.15,72,1,6.2
Pangnirtung,968,66.15,284.15,76,40,2.1
Ponta Delgada,6899,37.73,296.15,94,75,6.7
Qaqortoq,47,60.72,285.15,62,100,4.1
Castro,8512,-42.48,282.15,70,40,3.1
Westport,3409,41.14,300.37,83,1,1.5
Kushima,8001,31.5,299.15,94,75,3.6
Morros,8440,-2.87,301.15,74,40,4.1
Yulara,9487,-25.24,281.15,39,0,1.5
Belyy Yar,8942,53.6,291.15,100,40,1.0
Katima Mulilo,2271,-17.5,293.15,42,0,1.5
Half Moon Bay,5903,37.46,303.71,53,5,4.1
Mettlach,1601,49.49,292.04,88,0,1.5
Soller,1271,50.73,294.15,93,0,2.6
Saint Anthony,3814,43.97,306.15,16,1,2.6
Eureka,3217,40.8,291.15,72,90,4.6
Novokruchininskiy,8890,51.78,287.59,71,40,4.0
Ambon,6576,47.55,291.48,93,0,1.0
Saint-Philippe,4146,45.36,303.71,69,75,2.1
Marawi,2007154,8.0,298.71,80,100,0.45
Mount Gambier,9560,-37.83,278.15,100,90,0.5
Pangai,7286,-19.8,296.15,69,75,6.7
Vardo,4360,39.62,306.15,45,40,5.7
Niteroi,8334,-29.95,296.15,68,0,4.1
La Ronge,949,55.1,289.15,59,40,6.7
High Rock,7260,26.63,302.15,83,75,3.1
Berlevag,1633,70.86,280.15,87,75,4.6
Camacari,8454,-12.7,298.15,69,20,6.7
Nuevo Progreso,4874,26.05,310.37,37,40,6.7
Karachi,7576,24.87,301.15,78,75,5.1
Washington DC.,3787,38.9,305.37,49,40,6.2
Chapais,859,49.78,295.15,64,90,3.6
Mildura,2007247,-34.18,279.82,59,79,0.45
Rio Grande,8408,-32.03,288.71,93,0,3.6
Port Blair,9215,11.67,301.15,83,40,5.1
Koutsouras,2017542,35.03,298.71,51,0,4.02
Portland,4695,43.66,298.71,69,1,6.2
Ixtapa,7156,20.71,303.71,70,75,2.1
Zhuhai,9612,40.71,289.15,82,0,2.0
Esperance,9525,-33.86,280.15,100,75,4.1
Glendive,2757,47.11,306.15,19,1,8.7
Vila Velha,8363,-3.71,298.15,78,75,4.6
Provideniya,8875,64.42,284.15,71,0,3.0
Maldonado,8712,-34.91,293.15,64,0,3.6
Coquimbo,8514,-29.95,287.15,71,0,5.7
Port-Gentil,2188,-0.72,297.15,83,90,3.6
Rio Claro,8462,-22.41,297.04,68,75,2.6
Port-Cartier,1013,50.03,289.26,87,90,3.6
Juneau,7729,58.3,294.15,60,20,5.1
Aklavik,821,68.22,279.15,87,90,6.7
Dalvik,2006944,57.79,288.71,99,0,2.89
Manzanillo,7166,19.05,305.15,66,75,5.1
Rapid City,3726,44.08,307.15,23,1,3.1
Praia da Vitoria,6895,38.73,297.15,88,40,6.53
Comodoro Rivadavia,8284,-45.87,284.15,29,20,9.3
Mareeba,9490,-16.99,295.15,73,90,6.7
Erzin,7008,36.95,300.37,69,0,7.7
Tullahoma,3428,35.36,305.93,51,1,4.6
Roald,1602,62.58,288.15,87,40,6.2
Hovd,1676,63.83,287.59,87,0,2.6
Katherine,9589,-14.47,289.15,67,5,2.6
Walla Walla,3276,46.06,312.04,16,1,3.75
Frankfort,4696,38.2,305.37,52,1,6.7
Adrar,1098,27.87,314.15,6,0,4.6
Puerto Escondido,7157,15.86,305.15,62,40,3.1
Strezhevoy,8986,60.73,292.15,72,0,5.0
Morant Bay,7105,17.88,304.15,62,20,9.3
Flinders,9594,-34.58,288.15,45,0,3.6
Aosta,6736,45.74,296.15,78,40,2.6
Iquique,8492,-20.22,289.15,67,75,6.2
Codrington,9537,-28.95,285.93,93,90,1.53
Capoterra,6720,39.18,301.15,83,0,3.1
Revelstoke,922,50.99,300.15,54,1,3.6
Medford,4869,42.33,310.93,23,1,5.1
Ryki,1702,51.63,297.04,68,20,5.7
Dumas,9071,21.09,301.15,88,75,3.1
Bereda,6403,43.27,292.59,100,75,0.5
Ulladulla,9594,-35.36,285.37,45,0,3.6
Nybro,2011693,56.75,290.93,84,0,1.34
Camacha,6902,33.08,296.15,83,20,1.5
Brae,1438,60.4,287.15,100,99,2.6
Whitianga,2002961,-36.83,286.48,91,10,0.89
Flin Flon,782,54.77,291.15,45,75,8.2
Durusu,6996,37.53,304.15,43,0,2.1
Nicoya,7210,10.15,306.15,49,75,5.1
Townsville,9508,-19.26,292.59,88,75,1.08
Pahrump,4529,36.21,310.15,9,75,4.6
Sao Joao da Barra,8337,-21.64,294.15,83,90,1.0
Tenabo,7121,20.04,308.15,50,20,3.6
Loiza,8792,18.43,302.15,83,90,3.1
Fecamp,6533,49.76,292.15,72,90,5.1
Tornio,1366,61.12,285.37,71,40,4.1
Akureyri,83,65.68,282.15,76,75,4.1
Kuching,9366,1.56,296.15,94,75,1.5
Grand Baie,2061,-20.02,294.26,94,75,2.1
Skibbereen,1563,51.55,288.15,82,75,3.6
Rio Gallegos,8293,-51.62,274.15,86,40,11.3
Saint-Pierre,6535,48.95,292.15,93,0,4.6
Slave Lake,1008,55.28,290.15,55,1,3.6
Almaznyy,8971,48.03,288.15,82,0,2.0
Nipawin,756,53.36,292.15,59,75,7.2
Tooele,6087,40.53,311.15,16,1,4.1
Llaillay,8520,-32.84,289.15,59,20,5.7
Corsicana,3706,32.09,310.37,47,1,2.6
Meadow Lake,833,54.13,288.15,67,75,4.6
Saint-Joseph,6507,43.56,299.15,88,0,1.5
Maputo,2202,-25.97,295.15,83,20,3.1
Blackwater,1415,51.33,291.15,87,1,4.1
Gushikawa,8138,26.35,301.15,94,40,7.7
Limon,4714,39.26,308.15,27,20,6.2
Bathsheba,8772,13.22,303.15,70,40,4.1
Karasjok,1646,69.47,281.15,81,100,4.1
Sochi,8972,43.6,290.15,88,0,4.0
Safita,7613,34.82,298.71,73,40,1.5
Road Town,8799,18.42,303.15,70,40,5.1
Nandi,9208,13.39,294.15,100,75,8.2
Crestview,3951,30.76,307.15,83,40,5.1
Galveston,5194,40.58,302.59,58,75,3.1
Plerin,6562,48.54,291.15,77,0,2.1
Kaeo,2016422,-35.1,287.04,100,39,3.12
Carballo,6403,43.21,293.15,100,75,0.5
Olinda,9548,-37.84,284.26,66,90,4.6
Sakrand,7587,26.14,302.15,74,24,5.1
Venado Tuerto,2011346,-33.75,289.26,51,0,3.13
Dubai,7537,25.27,307.15,71,0,3.1
Den Helder,1533,52.96,292.59,68,0,6.2
Bajil,2013233,38.23,294.82,40,0,0.89
Itoman,8137,26.12,301.15,88,40,6.2
Riyadh,7424,24.63,306.15,19,0,2.6
Ngunguru,2012217,-35.62,284.26,95,42,0.45
Moissac,6455,44.11,299.15,69,0,2.6
Semypolky,8898,50.72,289.15,71,0,2.0
Isla Vista,4558,34.41,309.82,42,1,6.2
Smithers,990,54.78,300.15,42,40,2.1
Hoa Binh,9308,20.81,301.15,100,5,2.6
Warrington,1399,53.39,289.82,87,20,5.7
Petropavlovsk-Kamchatskiy,8887,53.05,286.15,93,75,4.0
Plainview,5443,34.18,309.82,32,1,3.6
Buraydah,7411,26.33,304.15,27,0,6.2
Carbonia,6720,39.17,301.15,83,0,3.1
Fredericksburg,5990,30.28,310.37,32,75,2.6
Evanston,5228,42.04,303.15,45,40,4.1
Cayenne,8669,4.94,299.15,83,75,1.0
Acapulco,7103,16.86,305.15,66,75,5.1
Elk Point,870,53.9,289.15,55,75,5.7
